,file,Q1,Q2,Q3,Q4,Q5,Text,Gender,Age,Education,Interaction
36,2020-03-16 16.38.07.txt,2,3,2,2,1,when times are very similar it is hard to click them. ,male,22,bachelor,mouse
37,2020-03-16 17.16.54.txt,2,2,2,2,2,-,male,24,bachelor,mouse
38,2020-03-16 19.12.33.txt,5,5,5,4,5,-,female,19,highschool,mouse
39,2020-03-16 19.18.42.txt,4,4,3,2,2,It's somewhat confusing when the bars are on top of each other. It was easier to understand with 12 bars as opposed to 24 like the previous one.,female,27,bachelor,trackpad
40,2020-03-16 19.44.08.txt,5,3,4,4,4,-,male,23,master,mouse
41,2020-03-16 20.25.40.txt,5,4,5,5,3,-,female,21,bachelor,trackpad
42,2020-03-16 20.34.29.txt,4,4,4,4,4,-,female,29,highschool,mouse
43,2020-03-16 20.59.53.txt,4,4,4,1,3,-,male,19,highschool,mouse
44,2020-03-16 22.03.16.txt,3,2,2,1,1,-,male,21,highschool,trackpad
45,2020-03-17 10.41.31.txt,1,2,2,4,2,-,male,20,bachelor,mouse
46,2020-03-17 12.04.55.txt,5,4,3,5,5,-,female,19,highschool,mouse
47,2020-03-17 13.09.06.txt,5,4,5,5,5,-,female,21,bachelor,trackpad
48,2020-03-17 14.35.42.txt,4,3,3,4,4,-,male,20,highschool,trackpad
49,2020-03-19 11.34.17.txt,3,4,4,4,3,"It was good for comparing the values between the same or adjacent hours especially questions like ""Which values are the most similar"". But the representation made it harder to find specific values such as ""What hour across both AM and PM has the lowest value"". I found it harder to distinguish between AM and PM always having to take a second look which color was related to which. Especially since they did change places depending on the value.",male,34,bachelor,mouse
50,2020-03-20 14.42.48.txt,3,3,2,4,3,It took me a while to figure out that the AM and PM were not statically placed i.e. that AM wasn't always in the front. When AM and PM had similar lengths it was more difficult to select the element laying behind the other element. I also found it confusing to compare lengths of the bars between different times. Perhaps make each bar more narrow and put them more next to each other rather than on top of each other if possible. I only felt like I could understand and take in the information about a bar if I had it selected to further extrude it from its surroundings. I did not feel that same way about any of the other visualisations. ,female,22,bachelor,mouse
