,file,Q1,Q2,Q3,Q4,Q5,Text,Gender,Age,Education,Interaction
22,2020-03-10 11.57.42.txt,4,4,5,3,4,could give false answers because the outer circle is bigger thus giving the visual of bugger graphs,male,21,master,trackpad
23,2020-03-10 15.57.25.txt,4,3,4,4,3,-,male,25,bachelor,trackpad
24,2020-03-16 08.03.00.txt,4,4,4,4,4,-,none,20,highschool,trackpad
25,2020-03-16 08.38.38.txt,5,4,5,5,4,It was very easy to find the value at a certain time point but it was slightly confusing because of that the scales for am and pm visually appeared to be somewhat different and therefore hard to compare am and pm.,male,22,bachelor,trackpad
26,2020-03-16 08.39.41.txt,3,4,3,4,3,-,male,22,master,trackpad
27,2020-03-16 09.14.03.txt,4,4,4,2,3,-,female,23,bachelor,trackpad
28,2020-03-16 09.32.33.txt,4,4,5,3,3,-,male,21,bachelor,mouse
29,2020-03-16 10.12.40.txt,4,4,3,5,4,Pretty easy to understand as the first representation the mapping to the clock makes it intuitive. Has drawbacks regarding comparison between AM and PM since they are separated from eachother.,female,26,master,trackpad
30,2020-03-16 10.34.07.txt,5,4,5,5,5,-,female,21,bachelor,mouse
31,2020-03-16 12.28.00.txt,4,4,4,4,4,-,female,21,bachelor,mouse
32,2020-03-16 12.32.54.txt,4,4,4,3,4,-,female,19,highschool,trackpad
33,2020-03-16 12.55.29.txt,5,4,3,5,4,-,male,33,bachelor,mouse
34,2020-03-16 13.45.50.txt,2,2,1,5,1,-,female,26,master,trackpad
35,2020-03-16 15.50.15.txt,2,4,4,4,4,-,male,19,bachelor,trackpad
36,2020-03-16 16.38.07.txt,4,4,4,4,4,-,male,22,bachelor,mouse
37,2020-03-16 17.16.54.txt,1,1,1,1,1,-,male,24,bachelor,mouse
38,2020-03-16 19.12.33.txt,5,4,5,5,4,-,female,19,highschool,mouse
39,2020-03-16 19.18.42.txt,4,4,4,4,4,This one was the easiest to understand. The bars aren't all mixed up laying on top of each other. The four circles representing minutes in both AM and PM are smaller which gives me a better overlook of things. Of the three I prefer this one.,female,27,bachelor,trackpad
40,2020-03-16 19.44.08.txt,5,4,2,5,4,-,male,23,master,mouse
41,2020-03-16 20.25.40.txt,3,3,3,5,4,-,female,21,bachelor,trackpad
42,2020-03-16 20.34.29.txt,2,2,3,1,3,-,female,29,highschool,mouse
43,2020-03-16 20.59.53.txt,4,1,1,4,2,-,male,19,highschool,mouse
44,2020-03-16 22.03.16.txt,3,3,2,3,2,-,male,21,highschool,trackpad
45,2020-03-17 10.41.31.txt,4,4,3,4,4,-,male,20,bachelor,mouse
46,2020-03-17 12.04.55.txt,5,4,3,4,5,-,female,19,highschool,mouse
47,2020-03-17 13.09.06.txt,1,1,1,1,1,-,female,21,bachelor,trackpad
48,2020-03-17 14.35.42.txt,3,2,2,2,3,-,male,20,highschool,trackpad
49,2020-03-19 11.34.17.txt,4,4,4,4,3,Made it really easy to find AM or PM since they we're always in the same place. It was harder than the first representation to find similarities or dissimilarities especially to compare the dissimilarities across multiple pairs.,male,34,bachelor,mouse
50,2020-03-20 14.42.48.txt,4,4,4,4,4,"I thought this was the easiest visualisation to understand. I know that my alarm clock on my phone (oneplus 5t) has a similar layout that you turn the handles in an inner- or outer circle to decide if the time is AM or PM. It was clear which bar belonged to which time and to AM and PM. At first I instinctively thought that the outer ones looked longer but I rather quickly started referring to the ""measuring circles"" for reference.",female,22,bachelor,mouse
